field,hash,crop_path,example_sample_dir,example_png,count
detection_threshold,afd294dabacebc7b95324fd1d555ebd2,outputs\debug\crop_detection_threshold_032.png,data\A15,data\A15\ec496b7b-3838-4d59-97de-1dbd8296f808.png,3
minimum_area,b2107d4f4814421001ecb800f3af2322,outputs\debug\crop_minimum_area_033.png,data\A15,data\A15\ec496b7b-3838-4d59-97de-1dbd8296f808.png,3
minimum_height,7c4160f6de8f1168c12f54bfb02221e7,outputs\debug\crop_minimum_height_034.png,data\A15,data\A15\ec496b7b-3838-4d59-97de-1dbd8296f808.png,1
start_min,7ccae6e8ebdbc8689c65c17f32949516,outputs\debug\crop_start_min_035.png,data\A16,data\A16\55f00973-f5fc-4c69-bfea-230a2595facf.png,1
end_min,ad96cadcb6d32ca99ef915834a30a8f8,outputs\debug\crop_end_min_036.png,data\A16,data\A16\55f00973-f5fc-4c69-bfea-230a2595facf.png,1
peak_width_sec,b9bb456197737172a5df1cd3651dcc81,outputs\debug\crop_peak_width_sec_037.png,data\A16,data\A16\55f00973-f5fc-4c69-bfea-230a2595facf.png,1
detection_threshold,afd34770ef50b6726c9f89f5a4d4eb76,outputs\debug\crop_detection_threshold_038.png,data\A16,data\A16\55f00973-f5fc-4c69-bfea-230a2595facf.png,1
minimum_area,0d42bb707b2849a0820de2adebb2eb9d,outputs\debug\crop_minimum_area_039.png,data\A16,data\A16\55f00973-f5fc-4c69-bfea-230a2595facf.png,1
minimum_height,3314cb0146f103d512b433031ac2c9cc,outputs\debug\crop_minimum_height_040.png,data\A16,data\A16\55f00973-f5fc-4c69-bfea-230a2595facf.png,1
start_min,3c9c170cc6fab3c9ea3a8c0f99267b2f,outputs\debug\crop_start_min_041.png,data\A17,data\A17\54f3f70d-1a2a-4376-95a2-838b5c1b2c90.png,1
end_min,c9d139a3c1f841e1696190824b40c0a3,outputs\debug\crop_end_min_042.png,data\A17,data\A17\54f3f70d-1a2a-4376-95a2-838b5c1b2c90.png,1
peak_width_sec,9af72e9ebe845fbbb89c932fc97b181a,outputs\debug\crop_peak_width_sec_043.png,data\A17,data\A17\54f3f70d-1a2a-4376-95a2-838b5c1b2c90.png,1
detection_threshold,9e865f370abc5256a8b6b36d64b7ac47,outputs\debug\crop_detection_threshold_044.png,data\A17,data\A17\54f3f70d-1a2a-4376-95a2-838b5c1b2c90.png,1
minimum_area,96ac670a4516b9be89c8c581a300fd0c,outputs\debug\crop_minimum_area_045.png,data\A17,data\A17\54f3f70d-1a2a-4376-95a2-838b5c1b2c90.png,2
minimum_height,2c6d5902a610c59e40901c373f3c0ab7,outputs\debug\crop_minimum_height_046.png,data\A17,data\A17\54f3f70d-1a2a-4376-95a2-838b5c1b2c90.png,1
start_min,7015c00b8f8c8f460a2b37062e847c8e,outputs\debug\crop_start_min_047.png,data\A18,data\A18\20955b56-b84c-4781-a805-de308717cea8.png,1
end_min,5b2378e259153850d060ce216d2a3485,outputs\debug\crop_end_min_048.png,data\A18,data\A18\20955b56-b84c-4781-a805-de308717cea8.png,1
peak_width_sec,875d13632358347292d27181f7512e4a,outputs\debug\crop_peak_width_sec_049.png,data\A18,data\A18\20955b56-b84c-4781-a805-de308717cea8.png,1
detection_threshold,a07692a75efb5ee15e7d81013ff8b20b,outputs\debug\crop_detection_threshold_050.png,data\A18,data\A18\20955b56-b84c-4781-a805-de308717cea8.png,1
minimum_area,ca0a3284a578077066babcdc56085830,outputs\debug\crop_minimum_area_051.png,data\A18,data\A18\20955b56-b84c-4781-a805-de308717cea8.png,1
