sample_dir,group_root,sample_name,arw_path,arw_size,arw_md5,cdf_path,cdf_size,rpt_path,rpt_size,png_count,parameter_pngs,plot_pngs,unknown_pngs,status,arw_trace_points,arw_time_min,arw_time_max,arw_signal_min,arw_signal_max,arw_signal_range,arw_baseline_p05,arw_noise_early_mad,arw_main_peak_time,arw_width_above_1pct,arw_width_above_5pct,arw_integrated_peak_count,arw_integrated_area_sum,arw_integrated_max_height,rpt_trace_points,rpt_time_min,rpt_time_max,rpt_signal_min,rpt_signal_max,rpt_signal_range,rpt_baseline_p05,rpt_noise_early_mad,rpt_main_peak_time,rpt_width_above_1pct,rpt_width_above_5pct,rpt_integrated_peak_count,rpt_integrated_area_sum,rpt_integrated_max_height,target_peak_count,hmws_time,hmws_height,hmws_area,hmws_area_pct_norm,monomer_time,monomer_height,monomer_area,monomer_area_pct_norm,lmws_time,lmws_height,lmws_area,lmws_area_pct_norm,duplicate_group_size,duplicate_dirs
extra\48,extra,48,extra\48\Method2782.arw,65498,407744b48b398ea2fea3f484bbc7bfb2,extra\48\Method2782.cdf,25520,extra\48\Method_m32_result_2851.rpt,65056,2,extra\48\ca9cb60b-6152-47fd-b215-fcad1fdbfee6.png,extra\48\31fa8c2a-3ab4-44bc-9f40-1aa7c5270a08.png,,ok,3000,0.0028125,9.999479,-6.318093e-06,0.1858293,0.185835618093,-2.622605e-06,1.1026863000000001e-06,4.966146,1.7466669999999995,1.0433329999999996,0,0.0,0.0,3000,0.0028125,9.999479,0.0,100.0,100.0,0.001988579,0.0005933664999999999,4.966146,1.7466669999999995,1.0433329999999996,3,45391.723,0.1857936,3,3.926338,0.005791586,1697.146,3.7388886956329017,4.278214,0.03033725,6414.317,14.131027808748302,4.965748,0.1857936,37280.26,82.13008349561878,1,
extra\49,extra,49,extra\49\Method2802.arw,65227,36de87f0cc14b5c5c2eaee9439a4f944,extra\49\Method2802.cdf,25232,extra\49\Method_m32_result_2852.rpt,65104,2,extra\49\fe1e28ea-e50d-4bc6-8973-2bea98d56121.png,extra\49\cb4eb738-5b84-4604-b151-a882eb350945.png,,ok,3000,0.003020833,9.999687,-2.443791e-06,0.1852731,0.185275543791,-1.192093e-07,1.8179424999999998e-06,4.966354,1.7233340000000004,1.0366670000000004,0,0.0,0.0,3000,0.003020833,9.999687,0.0,100.0,100.0,0.001254662,0.0009812099999999997,4.966354,1.7233340000000004,1.0366670000000004,3,44748.939,0.185219,3,3.929644,0.005731932,1692.604,3.7824449871314267,4.279767,0.02997096,6339.305,14.166380570497996,4.966341,0.185219,36717.03,82.05117444237058,2,data\B4;extra\49
extra\50,extra,50,extra\50\Method2806.arw,65058,f785234c750dbd96496ce627b5fec034,extra\50\Method2806.cdf,25520,extra\50\Method_m32_result_2853.rpt,65141,2,extra\50\d249aafa-9327-475d-96e6-a9b6973912d1.png,extra\50\1c5f920f-b8d2-4b87-b735-b318e00a8d8c.png,,ok,3000,0.003020833,9.999687,1.072884e-06,0.1934593,0.193458227116,3.695488e-06,1.5497189999999996e-06,4.966354,1.7033329999999998,1.0366670000000004,0,0.0,0.0,3000,0.003020833,9.999687,0.0005545783,100.0,99.9994454217,0.001910214,0.0008010580000000003,4.966354,1.7033329999999998,1.0366670000000004,3,46561.478,0.1934119,3,3.927405,0.005976936,1692.017,3.633941774786445,4.279942,0.03186901,6585.601,14.143883061444054,4.966718,0.1934119,38283.86,82.22217516376949,2,data\B5;extra\50
extra\51,extra,51,extra\51\Method2810.arw,66860,1c4f512926487524478943a343e57559,extra\51\Method2810.cdf,25520,extra\51\Method_m32_result_2854.rpt,63770,2,extra\51\a540f364-e754-40f7-af5f-d7e84e214267.png,extra\51\a7eca7bc-6723-4fd5-86df-1d5795933ef4.png,,ok,3000,0.001354167,9.998021,-5.030632e-05,0.1921743,0.19222460632,-2.31266e-05,1.7583449999999961e-06,4.964687,1.6933340000000006,1.0433329999999996,0,0.0,0.0,3000,0.001354167,9.998021,0.0,100.0,100.0,0.01413956,0.0009147299999999973,4.964687,1.6933340000000006,1.0433329999999996,3,46296.607,0.1921992,3,3.924173,0.005807978,1636.881,3.5356392316179885,4.277858,0.03147511,6470.826,13.976890358293426,4.965453,0.1921992,38188.9,82.48747041008858,1,
extra\52,extra,52,extra\52\Method2814.arw,66410,16043c1ca5ee268cc5f37a96969a167d,extra\52\Method2814.cdf,25520,extra\52\Method_m32_result_2855.rpt,63790,2,extra\52\c76fe207-3fed-4038-9ee6-d6111e3650f4.png,extra\52\831289db-d2d1-456a-9157-75f3b2c6dfe3.png,,ok,3000,0.0015625,9.998229,-3.46899e-05,0.1936401,0.1936747899,-7.927418e-06,1.0132790000000002e-06,4.964896,1.6500000000000004,1.029999,0,0.0,0.0,3000,0.0015625,9.998229,0.0,100.0,100.0,0.01381826,0.0005231899999999998,4.964896,1.6500000000000004,1.029999,3,46264.884999999995,0.1936402,3,3.92707,0.005655168,1563.1,3.3785883181164293,4.279336,0.0313997,6440.865,13.92171406024245,4.966116,0.1936402,38260.92,82.69969762164114,1,
extra\53,extra,53,extra\53\Method2818.arw,66781,e83e580fcae63d876312af871f0de951,extra\53\Method2818.cdf,25520,extra\53\Method_m32_result_2856.rpt,63777,2,extra\53\60c02d9e-3129-4270-a055-9804f83a4822.png,extra\53\6818b838-4251-456c-b518-ec8022c41413.png,,ok,3000,0.003229167,9.999896,-4.816056e-05,0.1932131,0.19326126056,-2.348423e-05,8.940700000000001e-07,4.966562,1.6599999999999997,1.0333330000000007,0,0.0,0.0,3000,0.003229167,9.999896,0.0,100.0,100.0,0.01276837,0.0004626299999999986,4.966562,1.6599999999999997,1.0333330000000007,3,46008.202,0.193205,3,3.926062,0.0056189,1549.803,3.368536331847961,4.278727,0.03126983,6397.309,13.904714207262437,4.965748,0.193205,38061.09,82.7267494608896,1,
extra\59,extra,59,extra\59\Method2568.arw,66884,910296572a93f2497bfbbd9f41fe197a,extra\59\Method2568.cdf,32,extra\59\Method_m32_result_2607.rpt,65235,2,extra\59\e11b970d-49fd-407b-ad41-773c481d993a.png,extra\59\b4d19616-56de-4f8d-9af6-ba9aa809523d.png,,ok,3000,0.0021875,9.998855,-6.628036e-05,0.2207827,0.22084898036,-6.306171e-05,5.8114500000000035e-06,5.015521,1.7566669999999998,1.0033340000000006,0,0.0,0.0,3000,0.0021875,9.998855,0.0,100.0,100.0,0.001457399,0.0026314145,5.015521,1.7566669999999998,1.0033340000000006,4,47821.77405,0.2207889,4,3.974122,0.00658081,1982.076,4.144714493292622,4.326972,0.0330913,6630.585,13.86520080385851,5.015201,0.2207889,39180.62,81.9305029525562,1,
extra\60,extra,60,extra\60\Method2572.arw,66345,e2ce2ee35e9c56b31ba0085d42607051,extra\60\Method2572.cdf,32,extra\60\Method_m32_result_2608.rpt,65147,2,extra\60\72faedfd-f21a-4907-815d-78c5bad1b440.png,extra\60\2928d5cb-9905-4b9e-87d5-5ab03be47498.png,,ok,3000,0.0005208334,9.997188,-2.443791e-05,0.209485,0.20950943791,-2.133846e-05,9.536699999999986e-07,5.013854,1.713333,1.0066659999999992,0,0.0,0.0,3000,0.0005208334,9.997188,0.0,100.0,100.0,0.00147938,0.000455193,5.013854,1.713333,1.0066659999999992,4,45405.307649999995,0.2094441,4,3.971784,0.00592564,1740.542,3.8333448006050457,4.325745,0.03101116,6147.801,13.539828971955004,5.013756,0.2094441,37484.95,82.55631762028156,1,
extra\62,extra,62,extra\62\Method2576.arw,65102,c53235bdf49f33d27f799f044973ef15,extra\62\Method2576.cdf,25564,extra\62\Method_m32_result_2609.rpt,63926,2,extra\62\3ad5ee8c-a005-4a1f-b8ff-8f46e19101dc.png,extra\62\2a14d9be-0b57-4ef3-9c7b-d7bacc271182.png,,ok,3000,0.002395833,9.999063,2.151728e-05,0.2187848,0.21876328272,2.503395e-05,1.221894999999999e-06,5.015729,1.6800000000000002,1.006666,0,0.0,0.0,3000,0.002395833,9.999063,0.009834905,100.0,99.990165095,0.01144227,0.00055849,5.015729,1.6800000000000002,1.006666,4,47330.35754,0.21872,4,3.97209,0.005936122,1706.569,3.605654148202321,4.326595,0.03184101,6251.276,13.20775148321434,5.01477,0.21872,39347.89,83.13457164726924,1,
extra\63,extra,63,extra\63\Method2580.arw,0,d41d8cd98f00b204e9800998ecf8427e,extra\63\Method2580.cdf,25228,extra\63\Method_m32_result_2610.rpt,64928,2,extra\63\1f720f69-1e8e-46f8-a058-7a2a0d26ae4e.png,extra\63\db31950b-6fc8-417f-9f6a-f6f6976fab8c.png,,bad_arw,0,,,,,,,,,,,,,,3000,0.002395833,9.999063,0.0,100.0,100.0,0.001179413,0.0005897061000000001,5.015729,1.7633329999999998,1.0099989999999996,4,46798.303210000005,0.212212,4,3.972191,0.006406584,1817.409,3.8834933648014207,4.326204,0.03367426,6553.249,14.003176505338944,5.0148,0.212212,38402.96,82.06058204220093,6,data\A5;extra\38;extra\40;extra\41;extra\44;extra\63
