training_source_bucket,label_status,label_source,rows
legacy_ocr_review,missing_peak_width_sec,legacy_ocr_parameter_screenshot,1
legacy_ocr_review,ok,legacy_ocr_parameter_screenshot,87
manual_confirmed,manual_confirmed,user_confirmed_test2_image_1,3
manual_confirmed,manual_confirmed,user_confirmed_test2_image_2,3
manual_confirmed,manual_confirmed,user_confirmed_test2_image_3,1
ocr_training_reviewed,ocr_training,ocr_parameter_screenshot,17
user_confirmed_ocr_training,ocr_training,user_confirmed_ocr_parameter_screenshot,61
